2019-08-30,11:35:17,1,86
2019-08-30,11:35:19,1,87
2019-08-30,11:35:25,1,88
2019-08-30,11:35:28,1,89
2019-08-30,11:35:38,1,90
2019-08-30,11:35:40,1,91
2019-08-30,11:35:41,1,92
2019-08-30,11:36:03,1,93
2019-08-30,11:36:16,1,94
2019-08-30,11:47:56,1,95
2019-08-30,11:48:11,1,96
2019-08-30,11:48:26,1,97
2019-08-30,11:48:51,1,98
2019-08-30,11:49:00,1,99
2019-08-30,11:49:15,1,100
2019-08-30,11:50:56,1,101
2019-08-30,11:51:15,1,102
2019-08-30,11:51:41,1,103
2019-08-30,11:51:49,1,104
2019-08-30,11:52:00,1,105
2019-08-30,11:52:07,1,106
2019-08-30,11:52:26,1,107
2019-08-30,11:52:42,1,108
2019-08-30,11:52:47,1,109
2019-08-30,11:52:53,1,110
2019-08-30,11:53:05,1,111
2019-08-30,11:53:10,1,112
2019-08-30,11:53:12,1,113
2019-08-30,11:53:25,1,114
2019-08-30,11:53:26,5,37
2019-08-30,11:53:31,5,38
2019-08-30,11:53:35,1,115
2019-08-30,11:53:40,1,116
2019-08-30,11:53:49,1,117
2019-08-30,11:53:55,1,118
2019-08-30,11:53:56,5,39
2019-08-30,11:54:01,1,119
2019-08-30,11:54:06,1,120
2019-08-30,11:54:17,1,121
2019-08-30,11:54:19,1,122
2019-08-30,11:54:22,5,40
2019-08-30,11:54:22,1,123
2019-08-30,11:54:29,5,41
2019-08-30,11:54:41,5,42
2019-08-30,11:54:45,1,124
2019-08-30,11:54:47,1,125
2019-08-30,11:54:53,1,126
2019-08-30,11:55:08,5,43
2019-08-30,11:55:14,1,127
2019-08-30,11:55:20,5,44
2019-08-30,11:55:22,1,128
2019-08-30,11:55:27,5,45
2019-08-30,11:55:41,1,129
2019-08-30,11:55:46,1,130
2019-08-30,11:55:50,1,131
2019-08-30,11:55:51,1,132
2019-08-30,11:55:53,5,46
2019-08-30,11:55:59,1,133
2019-08-30,11:56:06,5,47
2019-08-30,11:56:11,1,134
2019-08-30,11:56:18,1,135
2019-08-30,11:56:24,1,136
2019-08-30,11:56:27,5,48
2019-08-30,11:56:37,1,137
2019-08-30,11:56:38,5,49
2019-08-30,11:56:48,1,138
2019-08-30,11:57:04,1,139
2019-08-30,11:57:15,1,140
2019-08-30,11:57:38,1,141
2019-08-30,11:58:05,1,142
2019-08-30,11:58:29,1,143
2019-08-30,11:58:55,1,144
2019-08-30,11:59:04,1,145
2019-08-30,11:59:11,1,146
2019-08-30,11:59:21,1,147
2019-08-30,11:59:26,1,148
2019-08-30,11:59:45,1,149
2019-08-30,12:00:08,1,150
2019-08-30,12:00:30,1,151
2019-08-30,12:00:55,1,152
2019-08-30,12:01:22,1,153
2019-08-30,12:01:23,1,154
2019-08-30,12:01:32,1,155
2019-08-30,12:02:00,1,156
2019-08-30,12:02:19,1,157
2019-08-30,12:02:47,1,158
2019-08-30,12:26:47,1,159
2019-08-30,12:27:10,1,160
2019-08-30,12:27:11,1,161
2019-08-30,12:27:40,1,162
2019-08-30,12:28:02,1,163
2019-08-30,12:28:22,1,164
2019-08-30,12:28:34,1,165
2019-08-30,12:28:52,1,166
2019-08-30,12:29:11,1,167
2019-08-30,12:29:31,1,168
2019-08-30,12:32:43,3,1
2019-08-30,12:33:02,3,2
2019-08-30,12:33:25,3,3
2019-08-30,12:33:35,3,4
2019-08-30,12:33:49,3,5
2019-08-30,12:34:11,3,6
2019-08-30,12:34:27,3,7
2019-08-30,12:34:49,3,8
2019-08-30,12:34:54,3,9
2019-08-30,12:34:59,3,10
2019-08-30,12:35:10,3,11
2019-08-30,12:35:18,3,12
2019-08-30,12:35:27,3,13
2019-08-30,12:35:40,3,14
2019-08-30,12:35:48,3,15
